,Overall rank,Country or region,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Quartile rank,Gross enrollment ratio - Primary (female),Gross enrollment ratio - Primary (male),Gross enrollment ratio - Secondary (female),Gross enrollment ratio - Secondary (male),Gross enrollment ratio - Tertiary (female),Gross enrollment ratio - Tertiary (male),Students enrolled in primary education (thousands),Students enrolled in secondary education (thousands),Students enrolled in tertiary education (thousands)
33,37,Bahrain,6.199,1.3619999999999999,1.368,0.871,0.536,0.255,0.11,0,101.0799,100.8432,103.3477,102.3346,63.0909,32.3478,113.47,97.73299999999999,42.717
34,38,Slovakia,6.1979999999999995,1.246,1.504,0.8809999999999999,0.33399999999999996,0.121,0.013999999999999999,0,97.3148,98.4272,91.7485,90.7819,57.9469,38.1052,219.86599999999999,446.92199999999997,167.28
35,40,Poland,6.182,1.206,1.4380000000000002,0.884,0.483,0.11699999999999999,0.05,1,110.6474,109.5899,105.538,108.5359,80.5947,53.2014,2480.7929999999997,2462.928,1600.2079999999999
36,41,Uzbekistan,6.1739999999999995,0.745,1.5290000000000001,0.7559999999999999,0.631,0.322,0.24,1,102.2791,103.8982,92.4197,93.6277,6.8788,11.3179,2391.489,3892.888,281.45099999999996
37,42,Lithuania,6.149,1.238,1.515,0.818,0.29100000000000004,0.043,0.042,1,102.7513,103.0263,104.9873,109.7391,82.5495,60.1374,110.193,250.87,133.759
38,43,Colombia,6.125,0.985,1.41,0.841,0.47,0.099,0.034,1,110.6749,114.6039,101.2842,96.0019,65.0228,55.9855,4351.705,4784.846,2446.314
39,44,Slovenia,6.117999999999999,1.258,1.5230000000000001,0.953,0.564,0.14400000000000002,0.057,1,99.4903,99.1266,116.3986,114.3417,91.7315,64.1857,119.56299999999999,148.89600000000002,80.798
40,45,Nicaragua,6.105,0.6940000000000001,1.325,0.835,0.435,0.2,0.127,1,122.7265,123.7639,78.7793,69.8317,18.6685,16.8096,923.745,465.20099999999996,100.363
41,47,Argentina,6.086,1.092,1.432,0.8809999999999999,0.47100000000000003,0.066,0.05,1,109.2298,109.7307,110.3843,105.7235,111.6352,67.2154,4775.782,4583.002,3061.139
42,48,Romania,6.07,1.162,1.232,0.825,0.462,0.083,0.005,1,88.8617,90.0042,88.5969,89.2833,53.3024,43.0402,939.1469999999999,1515.2379999999998,535.2180000000001
43,49,Cyprus,6.046,1.263,1.2229999999999999,1.042,0.406,0.19,0.040999999999999995,1,99.2902,99.3095,99.4092,100.1336,69.3955,51.1118,53.773,57.161,37.166
44,50,Ecuador,6.028,0.912,1.3119999999999998,0.868,0.498,0.126,0.087,1,104.6576,103.7151,108.6386,105.57600000000001,48.9828,42.2167,1951.1879999999999,1929.5220000000002,669.437
45,51,Kuwait,6.021,1.5,1.319,0.8079999999999999,0.493,0.142,0.09699999999999999,1,97.1096,97.4541,101.4139,93.9781,42.6578,22.974,275.334,302.047,71.786
46,52,Thailand,6.007999999999999,1.05,1.409,0.828,0.557,0.359,0.027999999999999997,1,99.5379,99.6587,114.3114,119.0781,57.7461,41.0646,4952.685,6335.213000000001,2410.7129999999997
47,53,Latvia,5.94,1.187,1.465,0.812,0.264,0.075,0.064,1,99.46600000000001,99.2741,110.1625,111.2582,105.059,72.0232,121.506,117.36,82.914
48,55,Estonia,5.893,1.237,1.528,0.8740000000000001,0.495,0.10300000000000001,0.161,1,97.1941,97.0458,115.4513,114.6,86.4479,57.2157,82.824,80.212,51.092
49,56,Jamaica,5.89,0.831,1.4780000000000002,0.831,0.49,0.107,0.027999999999999997,1,96.4499,96.1292,84.7827,80.0783,34.1862,19.8006,246.972,204.08,74.53699999999999
50,57,Mauritius,5.888,1.12,1.402,0.7979999999999999,0.498,0.215,0.06,1,102.4626,100.6773,99.0658,92.4807,43.7949,33.9776,92.98899999999999,125.27,38.178000000000004
52,59,Honduras,5.86,0.642,1.236,0.828,0.507,0.24600000000000002,0.078,1,95.0052,95.4298,57.8301,50.618,24.0404,17.6191,1123.945,655.09,195.46900000000002
53,60,Kazakhstan,5.809,1.173,1.508,0.7290000000000001,0.41,0.146,0.096,1,105.7813,103.991,113.3749,112.5131,55.4733,47.5719,1406.967,1842.9189999999999,632.048
54,62,Hungary,5.757999999999999,1.2009999999999998,1.41,0.828,0.19899999999999998,0.081,0.02,1,101.7201,102.0141,102.2573,103.1192,53.4634,42.8479,394.43300000000005,808.7439999999999,295.328
55,63,Paraguay,5.742999999999999,0.855,1.475,0.777,0.514,0.184,0.08,1,104.2726,107.6384,79.0559,74.1879,41.2427,29.1307,727.363,611.308,225.21099999999998
56,65,Peru,5.697,0.96,1.274,0.8540000000000001,0.455,0.083,0.027000000000000003,1,102.6124,102.2685,98.2605,98.4716,73.6223,65.8076,3592.865,2779.973,1929.934
57,66,Portugal,5.693,1.2209999999999999,1.431,0.9990000000000001,0.508,0.047,0.025,1,103.3264,107.08,115.8974,119.0623,66.3512,59.4799,638.883,766.052,343.11699999999996
58,67,Pakistan,5.653,0.677,0.8859999999999999,0.535,0.313,0.22,0.098,1,88.5909,102.7526,40.5758,50.0061,9.3865,10.8058,21686.451,12529.168,1941.4779999999998
59,69,Philippines,5.631,0.807,1.2930000000000001,0.657,0.5579999999999999,0.11699999999999999,0.107,1,108.9637,112.6764,93.3116,85.1742,40.3114,30.5215,14293.635,7397.29,3589.4840000000004
60,70,Serbia,5.603,1.004,1.383,0.8540000000000001,0.282,0.13699999999999998,0.039,1,100.3626,100.2663,95.8787,95.1325,76.8553,56.728,268.952,538.238,262.108
61,72,Libya,5.525,1.044,1.3030000000000002,0.6729999999999999,0.41600000000000004,0.133,0.152,1,106.9883,111.5113,105.9791,90.1581,63.6474,57.5068,755.3380000000001,732.6139999999999,375.028
62,73,Montenegro,5.523,1.051,1.361,0.871,0.19699999999999998,0.142,0.08,1,97.4789,98.9374,89.7491,90.1282,65.5571,51.3878,38.74,57.575,25.014
63,74,Tajikistan,5.4670000000000005,0.493,1.0979999999999999,0.718,0.389,0.23,0.14400000000000002,1,98.0853,99.493,82.6894,91.9828,26.401999999999997,35.1865,771.04,1062.975,265.426
64,75,Croatia,5.432,1.155,1.266,0.914,0.29600000000000004,0.11900000000000001,0.022000000000000002,1,95.7951,95.0182,100.0322,95.6016,78.4691,56.9745,162.519,349.01800000000003,162.017
65,77,Dominican Republic,5.425,1.015,1.401,0.779,0.49700000000000005,0.113,0.10099999999999999,1,103.9693,111.4936,83.0294,76.5281,77.0124,42.9821,1253.3419999999999,924.737,556.523
